bar,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
274,15m-S-555,support,94.83,4,1.3033705001684155,15m,placebo,break,XAUUSD.a
174976,15m-S-555,support,94.83,4,1.3033705001684155,15m,random,hold,XAUUSD.a
274,15m-S-558,support,92.28,4,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-558,support,92.28,4,1.3033705001684155,15m,placebo,break,XAUUSD.a
125004,15m-S-558,support,92.28,4,1.3033705001684155,15m,random,break,XAUUSD.a
274,15m-S-562,support,89.83,4,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-562,support,89.83,4,1.3033705001684155,15m,placebo,break,XAUUSD.a
28903,15m-S-562,support,89.83,4,1.3033705001684155,15m,random,break,XAUUSD.a
274,15m-S-554,support,81.58,3,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-554,support,81.58,3,1.3033705001684155,15m,placebo,break,XAUUSD.a
105079,15m-S-554,support,81.58,3,1.3033705001684155,15m,random,hold,XAUUSD.a
274,15m-S-563,support,75.73,3,1.3033705001684155,15m,line,break,XAUUSD.a
274,15m-S-563,support,75.73,3,1.3033705001684155,15m,placebo,hold,XAUUSD.a
168041,15m-S-563,support,75.73,3,1.3033705001684155,15m,random,break,XAUUSD.a
318,15m-R-670,resistance,71.55,4,0.8206961361051918,15m,line,hold,XAUUSD.a
318,15m-R-670,resistance,71.55,4,0.8206961361051918,15m,placebo,break,XAUUSD.a
128409,15m-R-670,resistance,71.55,4,0.8206961361051918,15m,random,break,XAUUSD.a
351,15m-R-991,resistance,83.37,4,1.1888660987343693,15m,line,break,XAUUSD.a
351,15m-R-991,resistance,83.37,4,1.1888660987343693,15m,placebo,hold,XAUUSD.a
77429,15m-R-991,resistance,83.37,4,1.1888660987343693,15m,random,break,XAUUSD.a
469,15m-S-1606,support,86.91,4,0.7195456004370019,15m,line,break,XAUUSD.a
469,15m-S-1606,support,86.91,4,0.7195456004370019,15m,placebo,break,XAUUSD.a
50523,15m-S-1606,support,86.91,4,0.7195456004370019,15m,random,hold,XAUUSD.a
469,15m-S-1610,support,71.46,3,0.7195456004370019,15m,line,break,XAUUSD.a
469,15m-S-1610,support,71.46,3,0.7195456004370019,15m,placebo,break,XAUUSD.a
197741,15m-S-1610,support,71.46,3,0.7195456004370019,15m,random,break,XAUUSD.a
520,15m-R-1775,resistance,88.14,4,1.1318667194513647,15m,line,hold,XAUUSD.a
520,15m-R-1775,resistance,88.14,4,1.1318667194513647,15m,placebo,hold,XAUUSD.a
141224,15m-R-1775,resistance,88.14,4,1.1318667194513647,15m,random,break,XAUUSD.a
520,15m-R-1774,resistance,72.99,3,1.1318667194513647,15m,line,hold,XAUUSD.a
520,15m-R-1774,resistance,72.99,3,1.1318667194513647,15m,placebo,hold,XAUUSD.a
99799,15m-R-1774,resistance,72.99,3,1.1318667194513647,15m,random,break,XAUUSD.a
521,15m-R-1687,resistance,92.97,4,1.1710190966333986,15m,line,hold,XAUUSD.a
521,15m-R-1687,resistance,92.97,4,1.1710190966333986,15m,placebo,hold,XAUUSD.a
781,15m-R-1687,resistance,92.97,4,1.1710190966333986,15m,random,break,XAUUSD.a
521,15m-R-1688,resistance,92.52,4,1.1710190966333986,15m,line,hold,XAUUSD.a
521,15m-R-1688,resistance,92.52,4,1.1710190966333986,15m,placebo,hold,XAUUSD.a
108938,15m-R-1688,resistance,92.52,4,1.1710190966333986,15m,random,break,XAUUSD.a
521,15m-R-1693,resistance,90.27,4,1.1710190966333986,15m,line,hold,XAUUSD.a
521,15m-R-1693,resistance,90.27,4,1.1710190966333986,15m,placebo,hold,XAUUSD.a
54621,15m-R-1693,resistance,90.27,4,1.1710190966333986,15m,random,hold,XAUUSD.a
564,15m-R-1688,resistance,88.64,5,1.0871002212495224,15m,line,break,XAUUSD.a
564,15m-R-1688,resistance,88.64,5,1.0871002212495224,15m,placebo,break,XAUUSD.a
191769,15m-R-1688,resistance,88.64,5,1.0871002212495224,15m,random,break,XAUUSD.a
566,15m-R-1687,resistance,94.95,5,1.0903568234243506,15m,line,break,XAUUSD.a
566,15m-R-1687,resistance,94.95,5,1.0903568234243506,15m,placebo,break,XAUUSD.a
172875,15m-R-1687,resistance,94.95,5,1.0903568234243506,15m,random,break,XAUUSD.a
566,15m-R-1693,resistance,92.25,5,1.0903568234243506,15m,line,break,XAUUSD.a
566,15m-R-1693,resistance,92.25,5,1.0903568234243506,15m,placebo,break,XAUUSD.a
96637,15m-R-1693,resistance,92.25,5,1.0903568234243506,15m,random,break,XAUUSD.a
566,15m-R-1694,resistance,92.0,5,1.0903568234243506,15m,line,break,XAUUSD.a
566,15m-R-1694,resistance,92.0,5,1.0903568234243506,15m,placebo,break,XAUUSD.a
18689,15m-R-1694,resistance,92.0,5,1.0903568234243506,15m,random,hold,XAUUSD.a
566,15m-R-1695,resistance,91.75,5,1.0903568234243506,15m,line,break,XAUUSD.a
566,15m-R-1695,resistance,91.75,5,1.0903568234243506,15m,placebo,break,XAUUSD.a
125087,15m-R-1695,resistance,91.75,5,1.0903568234243506,15m,random,break,XAUUSD.a
638,15m-S-2284,support,96.35,4,1.1227081924052182,15m,line,hold,XAUUSD.a
638,15m-S-2284,support,96.35,4,1.1227081924052182,15m,placebo,break,XAUUSD.a
177810,15m-S-2284,support,96.35,4,1.1227081924052182,15m,random,hold,XAUUSD.a
638,15m-S-2288,support,79.8,3,1.1227081924052182,15m,line,hold,XAUUSD.a
638,15m-S-2288,support,79.8,3,1.1227081924052182,15m,placebo,hold,XAUUSD.a
22103,15m-S-2288,support,79.8,3,1.1227081924052182,15m,random,hold,XAUUSD.a
671,15m-R-2483,resistance,99.07,4,1.0651851489337698,15m,line,break,XAUUSD.a
671,15m-R-2483,resistance,99.07,4,1.0651851489337698,15m,placebo,break,XAUUSD.a
12109,15m-R-2483,resistance,99.07,4,1.0651851489337698,15m,random,hold,XAUUSD.a
721,15m-R-2595,resistance,78.75,4,0.9912065808589726,15m,line,break,XAUUSD.a
721,15m-R-2595,resistance,78.75,4,0.9912065808589726,15m,placebo,hold,XAUUSD.a
46062,15m-R-2595,resistance,78.75,4,0.9912065808589726,15m,random,break,XAUUSD.a
743,15m-R-2882,resistance,98.61,4,1.0764159386587606,15m,line,break,XAUUSD.a
743,15m-R-2882,resistance,98.61,4,1.0764159386587606,15m,placebo,break,XAUUSD.a
30667,15m-R-2882,resistance,98.61,4,1.0764159386587606,15m,random,hold,XAUUSD.a
743,15m-R-2891,resistance,79.36,3,1.0764159386587606,15m,line,break,XAUUSD.a
743,15m-R-2891,resistance,79.36,3,1.0764159386587606,15m,placebo,hold,XAUUSD.a
117423,15m-R-2891,resistance,79.36,3,1.0764159386587606,15m,random,break,XAUUSD.a
780,15m-R-2939,resistance,92.82,5,1.4110506497159947,15m,line,break,XAUUSD.a
780,15m-R-2939,resistance,92.82,5,1.4110506497159947,15m,placebo,break,XAUUSD.a
199726,15m-R-2939,resistance,92.82,5,1.4110506497159947,15m,random,break,XAUUSD.a
781,15m-R-2933,resistance,94.2,4,1.4352613175934237,15m,line,break,XAUUSD.a
781,15m-R-2933,resistance,94.2,4,1.4352613175934237,15m,placebo,break,XAUUSD.a
90963,15m-R-2933,resistance,94.2,4,1.4352613175934237,15m,random,hold,XAUUSD.a
781,15m-R-2932,resistance,78.6,3,1.4352613175934237,15m,line,break,XAUUSD.a
781,15m-R-2932,resistance,78.6,3,1.4352613175934237,15m,placebo,break,XAUUSD.a
130198,15m-R-2932,resistance,78.6,3,1.4352613175934237,15m,random,break,XAUUSD.a
843,15m-S-3302,support,81.39,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3302,support,81.39,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
114617,15m-S-3302,support,81.39,3,1.1902001416384398,15m,random,break,XAUUSD.a
843,15m-S-3303,support,80.99,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3303,support,80.99,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
89862,15m-S-3303,support,80.99,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3304,support,80.29,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3304,support,80.29,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
168592,15m-S-3304,support,80.29,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3306,support,79.39,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3306,support,79.39,3,1.1902001416384398,15m,placebo,hold,XAUUSD.a
19751,15m-S-3306,support,79.39,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3308,support,78.39,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3308,support,78.39,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
1568,15m-S-3308,support,78.39,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3309,support,78.09,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3309,support,78.09,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
137088,15m-S-3309,support,78.09,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3310,support,77.64,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3310,support,77.64,3,1.1902001416384398,15m,placebo,hold,XAUUSD.a
18966,15m-S-3310,support,77.64,3,1.1902001416384398,15m,random,hold,XAUUSD.a
843,15m-S-3311,support,76.99,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3311,support,76.99,3,1.1902001416384398,15m,placebo,break,XAUUSD.a
135140,15m-S-3311,support,76.99,3,1.1902001416384398,15m,random,break,XAUUSD.a
843,15m-S-3314,support,75.44,3,1.1902001416384398,15m,line,break,XAUUSD.a
843,15m-S-3314,support,75.44,3,1.1902001416384398,15m,placebo,hold,XAUUSD.a
98511,15m-S-3314,support,75.44,3,1.1902001416384398,15m,random,hold,XAUUSD.a
845,15m-S-3305,support,80.2,3,1.1627746119229414,15m,line,break,XAUUSD.a
845,15m-S-3305,support,80.2,3,1.1627746119229414,15m,placebo,hold,XAUUSD.a
192830,15m-S-3305,support,80.2,3,1.1627746119229414,15m,random,break,XAUUSD.a
870,15m-R-3400,resistance,76.88,4,0.9212508658752595,15m,line,break,XAUUSD.a
870,15m-R-3400,resistance,76.88,4,0.9212508658752595,15m,placebo,break,XAUUSD.a
57326,15m-R-3400,resistance,76.88,4,0.9212508658752595,15m,random,hold,XAUUSD.a
951,15m-R-3693,resistance,80.68,4,1.3355516734862596,15m,line,hold,XAUUSD.a
951,15m-R-3693,resistance,80.68,4,1.3355516734862596,15m,placebo,hold,XAUUSD.a
29700,15m-R-3693,resistance,80.68,4,1.3355516734862596,15m,random,hold,XAUUSD.a
964,15m-R-3688,resistance,90.82,5,1.309002744522893,15m,line,break,XAUUSD.a
964,15m-R-3688,resistance,90.82,5,1.309002744522893,15m,placebo,break,XAUUSD.a
50101,15m-R-3688,resistance,90.82,5,1.309002744522893,15m,random,break,XAUUSD.a
968,15m-R-3690,resistance,88.27,5,1.2959469332132019,15m,line,hold,XAUUSD.a
968,15m-R-3690,resistance,88.27,5,1.2959469332132019,15m,placebo,hold,XAUUSD.a
112718,15m-R-3690,resistance,88.27,5,1.2959469332132019,15m,random,hold,XAUUSD.a
981,15m-S-3973,support,95.45,4,1.5276671332936522,15m,line,break,XAUUSD.a
981,15m-S-3973,support,95.45,4,1.5276671332936522,15m,placebo,hold,XAUUSD.a
197841,15m-S-3973,support,95.45,4,1.5276671332936522,15m,random,break,XAUUSD.a
981,15m-S-3974,support,94.95,4,1.5276671332936522,15m,line,break,XAUUSD.a
981,15m-S-3974,support,94.95,4,1.5276671332936522,15m,placebo,hold,XAUUSD.a
130928,15m-S-3974,support,94.95,4,1.5276671332936522,15m,random,break,XAUUSD.a
981,15m-S-3975,support,94.5,4,1.5276671332936522,15m,line,break,XAUUSD.a
981,15m-S-3975,support,94.5,4,1.5276671332936522,15m,placebo,break,XAUUSD.a
200660,15m-S-3975,support,94.5,4,1.5276671332936522,15m,random,break,XAUUSD.a
981,15m-S-3972,support,79.25,3,1.5276671332936522,15m,line,break,XAUUSD.a
981,15m-S-3972,support,79.25,3,1.5276671332936522,15m,placebo,break,XAUUSD.a
83872,15m-S-3972,support,79.25,3,1.5276671332936522,15m,random,break,XAUUSD.a
981,15m-S-3977,support,76.3,3,1.5276671332936522,15m,line,hold,XAUUSD.a
981,15m-S-3977,support,76.3,3,1.5276671332936522,15m,placebo,break,XAUUSD.a
197823,15m-S-3977,support,76.3,3,1.5276671332936522,15m,random,hold,XAUUSD.a
981,15m-S-3980,support,75.2,3,1.5276671332936522,15m,line,break,XAUUSD.a
981,15m-S-3980,support,75.2,3,1.5276671332936522,15m,placebo,break,XAUUSD.a
178806,15m-S-3980,support,75.2,3,1.5276671332936522,15m,random,break,XAUUSD.a
985,15m-S-3978,support,93.71,4,1.51993755190546,15m,line,hold,XAUUSD.a
985,15m-S-3978,support,93.71,4,1.51993755190546,15m,placebo,hold,XAUUSD.a
97386,15m-S-3978,support,93.71,4,1.51993755190546,15m,random,hold,XAUUSD.a
985,15m-S-3979,support,93.51,4,1.51993755190546,15m,line,hold,XAUUSD.a
985,15m-S-3979,support,93.51,4,1.51993755190546,15m,placebo,hold,XAUUSD.a
65755,15m-S-3979,support,93.51,4,1.51993755190546,15m,random,hold,XAUUSD.a
985,15m-S-3976,support,77.46,3,1.51993755190546,15m,line,hold,XAUUSD.a
985,15m-S-3976,support,77.46,3,1.51993755190546,15m,placebo,break,XAUUSD.a
147012,15m-S-3976,support,77.46,3,1.51993755190546,15m,random,hold,XAUUSD.a
989,15m-S-3981,support,75.35,3,1.4806238655760888,15m,line,hold,XAUUSD.a
989,15m-S-3981,support,75.35,3,1.4806238655760888,15m,placebo,hold,XAUUSD.a
75961,15m-S-3981,support,75.35,3,1.4806238655760888,15m,random,hold,XAUUSD.a
1028,15m-S-3981,support,70.07,3,1.4742375757542299,15m,line,hold,XAUUSD.a
1028,15m-S-3981,support,70.07,3,1.4742375757542299,15m,placebo,hold,XAUUSD.a
84861,15m-S-3981,support,70.07,3,1.4742375757542299,15m,random,break,XAUUSD.a
1041,15m-S-3983,support,85.0,4,1.9735171228515056,15m,line,break,XAUUSD.a
1041,15m-S-3983,support,85.0,4,1.9735171228515056,15m,placebo,hold,XAUUSD.a
197359,15m-S-3983,support,85.0,4,1.9735171228515056,15m,random,hold,XAUUSD.a
1041,15m-S-3984,support,61.55,3,1.9735171228515056,15m,line,break,XAUUSD.a
1041,15m-S-3984,support,61.55,3,1.9735171228515056,15m,placebo,break,XAUUSD.a
16144,15m-S-3984,support,61.55,3,1.9735171228515056,15m,random,break,XAUUSD.a
1042,15m-S-3985,support,60.41,3,2.100408756933541,15m,line,hold,XAUUSD.a
1042,15m-S-3985,support,60.41,3,2.100408756933541,15m,placebo,hold,XAUUSD.a
106885,15m-S-3985,support,60.41,3,2.100408756933541,15m,random,break,XAUUSD.a
1054,15m-S-3985,support,77.76,4,1.86501438263497,15m,line,hold,XAUUSD.a
1054,15m-S-3985,support,77.76,4,1.86501438263497,15m,placebo,break,XAUUSD.a
11862,15m-S-3985,support,77.76,4,1.86501438263497,15m,random,break,XAUUSD.a
1056,15m-S-3988,support,74.14,4,1.8236603605372899,15m,line,hold,XAUUSD.a
1056,15m-S-3988,support,74.14,4,1.8236603605372899,15m,placebo,hold,XAUUSD.a
120464,15m-S-3988,support,74.14,4,1.8236603605372899,15m,random,hold,XAUUSD.a
1105,15m-R-4785,resistance,71.92,3,1.3623741164983254,15m,line,break,XAUUSD.a
1105,15m-R-4785,resistance,71.92,3,1.3623741164983254,15m,placebo,hold,XAUUSD.a
184347,15m-R-4785,resistance,71.92,3,1.3623741164983254,15m,random,break,XAUUSD.a
1145,15m-R-4841,resistance,93.59,4,1.368398744770077,15m,line,break,XAUUSD.a
1145,15m-R-4841,resistance,93.59,4,1.368398744770077,15m,placebo,break,XAUUSD.a
105938,15m-R-4841,resistance,93.59,4,1.368398744770077,15m,random,break,XAUUSD.a
1145,15m-R-4840,resistance,77.94,3,1.368398744770077,15m,line,break,XAUUSD.a
1145,15m-R-4840,resistance,77.94,3,1.368398744770077,15m,placebo,break,XAUUSD.a
203895,15m-R-4840,resistance,77.94,3,1.368398744770077,15m,random,break,XAUUSD.a
1222,15m-R-5390,resistance,92.7,4,1.0213638361639652,15m,line,break,XAUUSD.a
1222,15m-R-5390,resistance,92.7,4,1.0213638361639652,15m,placebo,break,XAUUSD.a
30843,15m-R-5390,resistance,92.7,4,1.0213638361639652,15m,random,break,XAUUSD.a
1224,15m-R-5342,resistance,93.87,4,1.1065841240393348,15m,line,hold,XAUUSD.a
1224,15m-R-5342,resistance,93.87,4,1.1065841240393348,15m,placebo,hold,XAUUSD.a
117564,15m-R-5342,resistance,93.87,4,1.1065841240393348,15m,random,hold,XAUUSD.a
1224,15m-R-5343,resistance,79.47,3,1.1065841240393348,15m,line,hold,XAUUSD.a
1224,15m-R-5343,resistance,79.47,3,1.1065841240393348,15m,placebo,break,XAUUSD.a
153659,15m-R-5343,resistance,79.47,3,1.1065841240393348,15m,random,break,XAUUSD.a
1258,15m-R-5638,resistance,80.96,3,0.9875791247740693,15m,line,hold,XAUUSD.a
1258,15m-R-5638,resistance,80.96,3,0.9875791247740693,15m,placebo,hold,XAUUSD.a
172871,15m-R-5638,resistance,80.96,3,0.9875791247740693,15m,random,break,XAUUSD.a
1260,15m-R-5638,resistance,96.06,4,1.0820452657490793,15m,line,break,XAUUSD.a
1260,15m-R-5638,resistance,96.06,4,1.0820452657490793,15m,placebo,break,XAUUSD.a
85494,15m-R-5638,resistance,96.06,4,1.0820452657490793,15m,random,break,XAUUSD.a
1338,15m-R-6018,resistance,78.5,3,0.8860551040433571,15m,line,hold,XAUUSD.a
1338,15m-R-6018,resistance,78.5,3,0.8860551040433571,15m,placebo,hold,XAUUSD.a
176757,15m-R-6018,resistance,78.5,3,0.8860551040433571,15m,random,hold,XAUUSD.a
1351,15m-S-6084,support,93.37,4,0.9327328210327943,15m,line,hold,XAUUSD.a
1351,15m-S-6084,support,93.37,4,0.9327328210327943,15m,placebo,hold,XAUUSD.a
128253,15m-S-6084,support,93.37,4,0.9327328210327943,15m,random,break,XAUUSD.a
1351,15m-S-6085,support,92.97,4,0.9327328210327943,15m,line,hold,XAUUSD.a
1351,15m-S-6085,support,92.97,4,0.9327328210327943,15m,placebo,hold,XAUUSD.a
17867,15m-S-6085,support,92.97,4,0.9327328210327943,15m,random,break,XAUUSD.a
1357,15m-S-6083,support,93.4,4,0.8353490208635064,15m,line,hold,XAUUSD.a
1357,15m-S-6083,support,93.4,4,0.8353490208635064,15m,placebo,break,XAUUSD.a
148124,15m-S-6083,support,93.4,4,0.8353490208635064,15m,random,break,XAUUSD.a
1358,15m-R-6008,resistance,96.62,4,0.89782409080183,15m,line,hold,XAUUSD.a
1358,15m-R-6008,resistance,96.62,4,0.89782409080183,15m,placebo,hold,XAUUSD.a
185692,15m-R-6008,resistance,96.62,4,0.89782409080183,15m,random,break,XAUUSD.a
1365,15m-S-6084,support,92.4,6,0.8790796643538987,15m,line,break,XAUUSD.a
1365,15m-S-6084,support,92.4,6,0.8790796643538987,15m,placebo,break,XAUUSD.a
74113,15m-S-6084,support,92.4,6,0.8790796643538987,15m,random,break,XAUUSD.a
1366,15m-S-6083,support,94.07,5,0.8727168311857767,15m,line,break,XAUUSD.a
1366,15m-S-6083,support,94.07,5,0.8727168311857767,15m,placebo,break,XAUUSD.a
63302,15m-S-6083,support,94.07,5,0.8727168311857767,15m,random,break,XAUUSD.a
1366,15m-S-6035,support,91.94,5,0.8727168311857767,15m,line,hold,XAUUSD.a
1366,15m-S-6035,support,91.94,5,0.8727168311857767,15m,placebo,hold,XAUUSD.a
193478,15m-S-6035,support,91.94,5,0.8727168311857767,15m,random,break,XAUUSD.a
1366,15m-S-6088,support,91.72,4,0.8727168311857767,15m,line,hold,XAUUSD.a
1366,15m-S-6088,support,91.72,4,0.8727168311857767,15m,placebo,break,XAUUSD.a
28089,15m-S-6088,support,91.72,4,0.8727168311857767,15m,random,hold,XAUUSD.a
1366,15m-S-6036,support,91.54,5,0.8727168311857767,15m,line,break,XAUUSD.a
1366,15m-S-6036,support,91.54,5,0.8727168311857767,15m,placebo,hold,XAUUSD.a
55422,15m-S-6036,support,91.54,5,0.8727168311857767,15m,random,break,XAUUSD.a
1366,15m-S-6089,support,91.37,4,0.8727168311857767,15m,line,hold,XAUUSD.a
1366,15m-S-6089,support,91.37,4,0.8727168311857767,15m,placebo,break,XAUUSD.a
41277,15m-S-6089,support,91.37,4,0.8727168311857767,15m,random,break,XAUUSD.a
1366,15m-S-6092,support,90.22,4,0.8727168311857767,15m,line,hold,XAUUSD.a
1366,15m-S-6092,support,90.22,4,0.8727168311857767,15m,placebo,hold,XAUUSD.a
200062,15m-S-6092,support,90.22,4,0.8727168311857767,15m,random,break,XAUUSD.a
1376,15m-R-6008,resistance,96.11,5,1.5152107414052896,15m,line,break,XAUUSD.a
1376,15m-R-6008,resistance,96.11,5,1.5152107414052896,15m,placebo,break,XAUUSD.a
183441,15m-R-6008,resistance,96.11,5,1.5152107414052896,15m,random,break,XAUUSD.a
1376,15m-R-6230,resistance,81.02,3,1.5152107414052896,15m,line,break,XAUUSD.a
1376,15m-R-6230,resistance,81.02,3,1.5152107414052896,15m,placebo,break,XAUUSD.a
182952,15m-R-6230,resistance,81.02,3,1.5152107414052896,15m,random,break,XAUUSD.a
1391,15m-R-6442,resistance,87.97,4,1.2252687838611567,15m,line,break,XAUUSD.a
1391,15m-R-6442,resistance,87.97,4,1.2252687838611567,15m,placebo,break,XAUUSD.a
169652,15m-R-6442,resistance,87.97,4,1.2252687838611567,15m,random,break,XAUUSD.a
1391,15m-R-6436,resistance,76.77,3,1.2252687838611567,15m,line,break,XAUUSD.a
1391,15m-R-6436,resistance,76.77,3,1.2252687838611567,15m,placebo,break,XAUUSD.a
87074,15m-R-6436,resistance,76.77,3,1.2252687838611567,15m,random,break,XAUUSD.a
1391,15m-R-6437,resistance,76.52,3,1.2252687838611567,15m,line,break,XAUUSD.a
1391,15m-R-6437,resistance,76.52,3,1.2252687838611567,15m,placebo,hold,XAUUSD.a
145786,15m-R-6437,resistance,76.52,3,1.2252687838611567,15m,random,break,XAUUSD.a
1412,15m-R-6501,resistance,82.65,3,1.0031065123106409,15m,line,hold,XAUUSD.a
1412,15m-R-6501,resistance,82.65,3,1.0031065123106409,15m,placebo,hold,XAUUSD.a
188302,15m-R-6501,resistance,82.65,3,1.0031065123106409,15m,random,hold,XAUUSD.a
1425,15m-R-6576,resistance,96.1,4,0.8275399528367952,15m,line,break,XAUUSD.a
1425,15m-R-6576,resistance,96.1,4,0.8275399528367952,15m,placebo,hold,XAUUSD.a
33224,15m-R-6576,resistance,96.1,4,0.8275399528367952,15m,random,break,XAUUSD.a
1425,15m-R-6501,resistance,95.96,5,0.8275399528367952,15m,line,break,XAUUSD.a
1425,15m-R-6501,resistance,95.96,5,0.8275399528367952,15m,placebo,break,XAUUSD.a
106023,15m-R-6501,resistance,95.96,5,0.8275399528367952,15m,random,hold,XAUUSD.a
1425,15m-R-6577,resistance,95.7,4,0.8275399528367952,15m,line,break,XAUUSD.a
1425,15m-R-6577,resistance,95.7,4,0.8275399528367952,15m,placebo,hold,XAUUSD.a
160496,15m-R-6577,resistance,95.7,4,0.8275399528367952,15m,random,hold,XAUUSD.a
1425,15m-R-6578,resistance,95.3,4,0.8275399528367952,15m,line,break,XAUUSD.a
1425,15m-R-6578,resistance,95.3,4,0.8275399528367952,15m,placebo,break,XAUUSD.a
164486,15m-R-6578,resistance,95.3,4,0.8275399528367952,15m,random,break,XAUUSD.a
1425,15m-R-6579,resistance,81.2,3,0.8275399528367952,15m,line,break,XAUUSD.a
1425,15m-R-6579,resistance,81.2,3,0.8275399528367952,15m,placebo,break,XAUUSD.a
